mt_adj;ms_adj;mg_adj;Age;Gender;Department;Year;BandR;Place;Income;Socialmedia;Ishopping;Brandmonitoring;Price;Quality;Timeofuse;ProductionDate;Seasonality;Material;Discount;Fashion;Design;Psychologicalimpulses;Country;Recognizability
High;High;High;3;1;0;4;1;1;3;6;3;2;4;5;5;3;5;5;5;4;5;4;4;4
Low;Mid;Mid;3;1;0;4;1;1;1;4;2;2;4;5;5;5;5;5;5;5;5;1;1;1
Low;Low;Low;3;1;0;4;0;1;3;4;2;1;5;5;5;3;5;4;3;3;3;3;2;1
High;Low;High;3;1;0;4;0;3;2;4;2;3;5;5;4;6;5;3;3;3;5;2;4;3
High;Mid;High;4;1;0;4;0;1;6;4;5;1;4;4;4;1;4;4;4;2;4;1;4;2
High;Low;Low;3;1;0;4;0;1;6;3;2;3;4;4;6;3;4;4;5;1;1;3;2;5
High;Low;High;3;1;0;4;0;1;4;4;4;2;4;4;4;2;2;4;4;4;5;5;2;5
High;Low;High;4;1;0;4;0;1;5;4;3;3;5;5;5;5;5;5;4;4;5;2;1;5
High;Low;Mid;2;1;0;4;0;1;4;3;2;4;4;5;4;4;4;4;3;3;5;3;4;4
High;Low;Mid;2;1;0;4;0;2;5;4;2;5;5;5;5;3;4;4;4;4;4;4;3;3
High;High;High;2;1;0;3;0;1;3;5;5;5;5;4;4;4;5;5;5;5;5;4;4;4
High;High;High;2;1;0;2;0;3;4;3;5;2;4;4;4;4;4;4;4;4;4;4;4;4
High;Mid;Low;2;1;0;3;0;1;4;5;3;3;5;3;2;1;5;1;4;3;4;2;1;2
High;High;High;2;1;0;2;0;3;3;3;3;3;4;5;5;2;4;4;4;4;4;2;2;4
Low;Mid;High;2;1;0;2;0;1;1;3;3;4;3;4;4;4;4;4;3;3;4;3;1;5
Low;High;High;3;0;0;3;0;1;3;4;2;3;4;4;5;5;5;5;5;2;2;3;5;4
High;High;High;2;1;0;3;0;1;5;4;2;4;4;5;5;5;5;5;5;2;5;4;5;4
High;Low;High;2;0;0;2;0;3;1;2;2;3;5;5;5;5;5;3;5;5;5;1;1;3
Mid;Low;Mid;3;1;0;3;0;3;4;3;2;5;4;4;4;3;4;5;4;3;4;4;2;3
High;High;High;3;1;0;3;0;1;3;3;2;3;5;4;4;4;5;5;5;4;4;3;3;3
